Matuarity,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years,,,,,
71,1.09,1.16,1.22,1.15,1.23,1.16,1.21,,,,,
71.5,1.09,1.17,1.22,1.15,1.23,1.16,1.21,,,,,
72,1.09,1.17,1.22,1.15,1.23,1.16,1.21,,,,,
72.5,1.09,1.17,1.22,1.15,1.24,1.16,1.21,,,,,
73,1.09,1.17,1.23,1.15,1.24,1.16,1.21,,,,,
73.5,1.09,1.17,1.23,1.15,1.24,1.16,1.21,,,,,
74,1.09,1.17,1.23,1.16,1.24,1.16,1.21,,,,,
74.5,1.09,1.17,1.23,1.16,1.24,1.16,1.21,,,,,
75,1.09,1.17,1.23,1.16,1.24,1.16,1.21,,,,,
75.5,1.10,1.17,1.23,1.16,1.24,1.16,1.21,,,,,
76,1.10,1.17,1.23,1.16,1.24,1.16,1.21,,,,,
76.5,1.10,1.17,1.23,1.16,1.24,1.17,1.21,,,,,
77,1.10,1.17,1.23,1.16,1.24,1.17,1.21,,,,,
77.5,1.10,1.17,1.23,1.16,1.24,1.17,1.21,,,,,
78,1.10,1.18,1.23,1.16,1.24,1.17,1.22,,,,,
78.5,1.10,1.18,1.23,1.16,1.24,1.17,1.22,,,,,
79,1.10,1.18,1.23,1.16,1.25,1.17,1.22,,,,,
79.5,1.10,1.18,1.23,1.16,1.25,1.17,1.22,,,,,
80,1.10,1.18,1.24,1.16,1.25,1.17,1.22,,,,,
80.5,1.10,1.18,1.24,1.17,1.25,1.17,1.22,,,,,
81,1.10,1.18,1.24,1.17,1.25,1.17,1.22,,,,,
81.5,1.10,1.18,1.24,1.17,1.25,1.17,1.22,,,,,
82,1.10,1.18,1.24,1.17,1.25,1.17,1.22,,,,,
82.5,1.10,1.18,1.24,1.17,1.25,1.17,1.22,,,,,
83,1.10,1.18,1.24,1.17,1.25,1.17,1.22,,,,,
83.5,1.10,1.18,1.24,1.17,1.25,1.17,1.22,,,,,
84,1.10,1.18,1.24,1.17,1.25,1.18,1.22,,,,,
84.5,1.10,1.18,1.24,1.17,1.25,1.18,1.22,,,,,
85,1.10,1.18,1.24,1.17,1.25,1.18,1.22,,,,,
85.5,1.10,1.18,1.24,1.17,1.25,1.18,1.22,,,,,
86,1.10,1.19,1.24,1.17,1.25,1.18,1.22,,,,,
86.5,1.11,1.19,1.24,1.17,1.26,1.18,1.22,,,,,
87,1.11,1.19,1.24,1.17,1.26,1.18,1.22,,,,,
87.5,1.11,1.19,1.24,1.17,1.26,1.18,1.23,,,,,
88,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
88.5,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
89,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
89.5,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
90,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
90.5,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
91,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
91.5,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
92,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
92.5,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
93,1.11,1.19,1.25,1.18,1.26,1.18,1.23,,,,,
93.5,1.11,1.19,1.25,1.18,1.26,1.19,1.23,,,,,
94,1.11,1.19,1.25,1.18,1.26,1.19,1.23,,,,,
94.5,1.11,1.19,1.25,1.18,1.26,1.19,1.23,,,,,
95,1.11,1.19,1.25,1.18,1.26,1.19,1.23,,,,,
95.5,1.11,1.20,1.25,1.18,1.27,1.19,1.23,,,,,
96,1.11,1.20,1.25,1.18,1.27,1.19,1.23,,,,,
96.5,1.11,1.20,1.25,1.18,1.27,1.19,1.23,,,,,
97,1.11,1.20,1.25,1.18,1.27,1.19,1.23,,,,,
97.5,1.11,1.20,1.26,1.19,1.27,1.19,1.23,,,,,
98,1.11,1.20,1.26,1.19,1.27,1.19,1.23,,,,,
98.5,1.11,1.20,1.26,1.19,1.27,1.19,1.23,,,,,
99,1.11,1.20,1.26,1.19,1.27,1.19,1.23,,,,,
99.5,1.11,1.20,1.26,1.19,1.27,1.19,1.24,,,,,
100,1.11,1.20,1.26,1.19,1.27,1.19,1.24,,,,,
